mouseReads	humanReads	mouseMT	humanMT	mouseNuclearReads	humanNuclearReads	nuclearMouseHumanRatio	mtMouseHumanRatio	fracMito	totalAlignedReads
57043	839	10139	438	46904	401	116.967581047382	23.148401826484	0.182733837807954	57882
274	2978	0	346	274	2632	0.104103343465046	0	0.10639606396064	3252
8862	42	3760	40	5102	2	2551	94	0.426774483378257	8904
1227	2259	106	753	1121	1506	0.744355909694555	0.140770252324037	0.246414228341939	3486
71	16862	14	9504	57	7358	0.0077466702908399	0.00147306397306397	0.562097679088171	16933
303	4316	13	2640	290	1676	0.173031026252983	0.00492424242424242	0.574366746048928	4619
383	206963	59	69472	324	137491	0.0023565178811704	0.000849263012436665	0.335338034010784	207346
56	30177	12	9716	44	20461	0.00215043253017937	0.00123507616303005	0.321767604935005	30233
89	11263	3	1127	86	10136	0.0084846093133386	0.00266193433895297	0.0995419309372798	11352
848	13889	194	7140	654	6749	0.0969032449251741	0.0271708683473389	0.497658953654068	14737
97	2722	13	2309	84	413	0.203389830508475	0.00563014291901256	0.823696346222065	2819
16	6642	0	1642	16	5000	0.0032	0	0.246620606788825	6658
200	314	16	115	184	199	0.924623115577889	0.139130434782609	0.254863813229572	514
57	10091	4	2956	53	7135	0.0074281709880869	0.0013531799729364	0.291683090264091	10148
690	58931	54	22365	636	36566	0.017393206804135	0.00241448692152917	0.376025226010969	59621
2229	17	1307	4	922	13	70.9230769230769	326.75	0.583704363312556	2246
309	100	59	25	250	75	3.33333333333333	2.36	0.205378973105134	409
392	782	214	198	178	584	0.304794520547945	1.08080808080808	0.350936967632027	1174
1224	43757	86	12909	1138	30848	0.0368905601659751	0.00666201874661089	0.288899757675463	44981
344	20259	98	11761	246	8498	0.0289479877618263	0.00833262477680469	0.575595787021308	20603
2080	27	1490	14	590	13	45.3846153846154	106.428571428571	0.713811105837684	2107
3	2227	0	1515	3	712	0.00421348314606742	0	0.679372197309417	2230
142	15351	4	11599	138	3752	0.0367803837953092	0.000344857315285801	0.748918866584909	15493
6087	20	2789	6	3298	14	235.571428571429	464.833333333333	0.457671524480105	6107
65178	512	7653	286	57525	226	254.535398230089	26.7587412587413	0.120855533566753	65690
5266	127	1746	105	3520	22	160	16.6285714285714	0.343222696087521	5393
3792	14	1186	5	2606	9	289.555555555556	237.2	0.312926957435628	3806
1989	21495	103	17052	1886	4443	0.424487958586541	0.0060403471733521	0.730497359904616	23484
107	9149	7	7647	100	1502	0.066577896138482	0.000915391656858899	0.826923076923077	9256
19770	195	7092	162	12678	33	384.181818181818	43.7777777777778	0.363335837716003	19965
64	3495	20	2519	44	976	0.0450819672131148	0.00793965859468043	0.713402641191346	3559
293	2776	5	2218	288	558	0.516129032258065	0.00225428313796213	0.724340175953079	3069
3067	69	977	58	2090	11	190	16.8448275862069	0.330038265306122	3136
9808	77	3381	14	6427	63	102.015873015873	241.5	0.343449671219019	9885
5800	41	523	39	5277	2	2638.5	13.4102564102564	0.0962164013011471	5841
1060	17	526	4	534	13	41.0769230769231	131.5	0.492107706592386	1077
139138	158376	47521	81364	91617	77012	1.18964576949047	0.58405437294135	0.433206504567852	297514
1784	30	355	23	1429	7	204.142857142857	15.4347826086957	0.208379272326351	1814
24341	54	10497	22	13844	32	432.625	477.136363636364	0.431194916991187	24395
6763	42	4426	8	2337	34	68.7352941176471	553.25	0.651579720793534	6805
269	24211	76	12396	193	11815	0.0163351671603893	0.00613101000322685	0.509477124183007	24480
147	13037	73	7148	74	5889	0.0125658006452708	0.0102126468942361	0.547709344660194	13184
13224	125	1798	42	11426	83	137.66265060241	42.8095238095238	0.137838040302644	13349
5407	98	1961	73	3446	25	137.84	26.8630136986301	0.369482288828338	5505
68	2143	4	1357	64	786	0.0814249363867685	0.00294767870302137	0.615558570782451	2211
44759	158	4666	40	40093	118	339.771186440678	116.65	0.104771022107443	44917
555	87461	247	30771	308	56690	0.00543305697653907	0.0080270384452894	0.352413197600436	88016
70360	63549	21133	27425	49227	36124	1.36272284353892	0.770574293527803	0.362619390780306	133909
104424	980	17730	763	86694	217	399.511520737327	23.2372214941022	0.175448749573071	105404
276	27112	64	8250	212	18862	0.0112395292121726	0.00775757575757576	0.30356360449832	27388
129	14773	17	4414	112	10359	0.0108118544261029	0.00385138196647032	0.297342638572004	14902
131	1414	43	1045	88	369	0.238482384823848	0.0411483253588517	0.7042071197411	1545
126	19068	38	13019	88	6049	0.0145478591502728	0.00291881096858438	0.680264666041471	19194
118	912	10	234	108	678	0.15929203539823	0.0427350427350427	0.236893203883495	1030
64	1379	10	1139	54	240	0.225	0.00877963125548727	0.796257796257796	1443
